pinyin_name	chinese_name	composition	pinyin_composition	indication	use_method	references
SHOU XING DING	寿星锭	防风5钱，人参2钱半，白术（麸炒）2钱半，茯苓2钱半，远志（去心，酒浸，炒）2钱半，茯神2钱半，川芎2钱半，僵蚕2钱半，白芷2钱半，莲实2钱半，甘草（炙）2钱半，藿香叶1钱，天麻（煨）1钱半，附子（蜜汤煮）1钱半，桔梗（炒）1钱半，南星（制）1钱半，羌活1钱半，琥珀1钱半，钩藤5钱，辰砂2钱，全蝎（制）10个，蝉蜕（制）24个，麝香1角，金箔20片，山药3钱。	FANG FENG,REN SHEN,BAI ZHU,FU LING,YUAN ZHI,FU SHEN,CHUAN QIONG,JIANG CAN,BAI ZHI,LIAN SHI,GAN CAO,HUO XIANG XIE,TIAN MA,FU ZI,JIE GENG,NAN XING,QIANG HUO,HU PO,GOU TENG,CHEN SHA,QUAN HE,CHAN SHUI,SHE XIANG,JIN BO,SHAN YAO,	小儿胎惊风，热丹毒。	薄荷汤磨化下。	《诚书》卷八。
QUAN HE SAN	全蝎散	全蝎1钱，天南星（取心为末）1钱，人参3钱，蛇蜕3钱。	QUAN HE,TIAN NAN XING,REN SHEN,SHE SHUI,	小儿惊热。	蜜汤调下；或薄荷加蜜汤调下。	《医部全录》卷四二○引初虞世方。
FU ZI WAN	附子丸	附子（炮裂，去皮脐）1两，乌梅肉（炒干）1两，干姜（炮）1两半，黄连（去须，炒）2两。	FU ZI,WU MEI ROU,GAN JIANG,HUANG LIAN,	洞泄寒中，注下水谷，或痢赤白，食入即吐，食物不消。	每服15丸，空心米饮送下，日晚再服。	《圣济总录》卷七十四。
DAN SHA GAO	丹砂膏	丹砂（研）1分，猪脂3两，蜜3两，杏仁（汤浸，去皮尖双仁，研）27粒，腻粉1分，白矾（研）1分，胡粉1分，生地黄半两（切，焙），麝香（研）1分。	DAN SHA,ZHU ZHI,MI,XING REN,NI FEN,BAI FAN,HU FEN,SHENG DI HUANG,SHE XIANG,	口疮，积年不愈。	每用如杏仁大，绵裹含，吐津。	《圣济总录》卷一一七。
XIE XIN TANG	泻心汤	人参1两，甘草1两，黄芩1两，橘皮1两，栝楼根1两，黄连2两，半夏3两，干姜1两半。	REN SHEN,GAN CAO,HUANG QIN,JU PI,GUA LOU GEN,HUANG LIAN,BAN XIA,GAN JIANG,	卒大下痢热，唇干口燥，呕逆引饮。	上(口父)咀，以水6升，煮取2升，分3服。	《千金》卷十五。
JUE MING SAN	决明散	石决明1分，乳香1分，龙胆2分，大黄半两（煨）。	SHI JUE MING,RU XIANG,LONG DAN,DA HUANG,	小儿热疳，非时生疮，爱吃冷水；肝脏风热，眼中不见物及有汗。	每服2钱，用薄荷温水调下。	方出《幼幼新书》卷二十四引《庄氏家传》，名见《医部全录》卷四四六。
NEI TUO SAN	内托散	桔梗、厚朴、白芷、防风、人参、黄耆、香附、陈皮、川芎、甘草、官桂、当归、赤芍、金银花或加木香。	JIE GENG,HOU PO,BAI ZHI,FANG FENG,REN SHEN,HUANG QI,XIANG FU,CHEN PI,CHUAN QIONG,GAN CAO,GUAN GUI,DANG GUI,CHI SHAO,JIN YIN HUA HUO JIA MU XIANG,	腕疽，毒生于左肋下三指，初起如痞，日渐长大如碗。即时就成水，绕皮周围攻结成脓，形如蛊胀，肚无青筋而脐不凸，只是肿胀。	水煎服。	《疮疡经验全书》卷四。
LIU ZHI TANG	柳枝汤	柳枝1握（切），地骨皮1两，细辛1两，防风（去芦头）1两，杏仁（汤浸，去皮尖双仁）1两，蔓荆子1两，盐半两，生地黄1升（切）。	LIU ZHI,DI GU PI,XI XIN,FANG FENG,XING REN,MAN JING ZI,YAN,SHENG DI HUANG,	齿根出露，摇动疼痛。	每用1两，以水1大盏，酒1盏，同煎至1盏，去滓，热含就于患处良久，倦即吐之，含尽为度，1日2次。	《圣惠》卷三十四。
JUE MING SAN	决明散	玄参2两，黄芩2两，防风2两，川芎2两，蝉蜕半两，地骨皮1两，前胡1两，甘草1两，苍术1两（泔浸），木贼半两，草决明1两。	XUAN SHEN,HUANG QIN,FANG FENG,CHUAN QIONG,CHAN SHUI,DI GU PI,QIAN HU,GAN CAO,CANG ZHU,MU ZEI,CAO JUE MING,	赤眼生翳障，多泪睛疼。	每服2钱，各换汤使，时气赤眼，米泔水送下；多泪，安门冬熟水送下；翳膜，淡竹叶汤送下；血贯瞳仁不退，熟水或茶送下。	《普济方》卷七十三引《卫生家宝》。
CHAI HU YIN	柴胡饮	柴胡1钱5分，广皮1钱半，细辛1钱半，厚朴1钱半，半夏1钱半，甘草8分。	CHAI HU,YAN PI,XI XIN,HOU PO,BAN XIA,GAN CAO,	四时感邪，或三阳并病，或时逢寒胜，症无内热，而用凉药致寒邪凝滞。	加生姜，水煎服。	《观聚方要补》卷一引《孝慈备览》。
MEI YAO SAN	没药散	没药3分，甜瓜子半两（炒），自然铜2两（烧，醋淬一度，研碎），乳香1分，骨碎补半两，红芍药半两，五灵脂半两，当归半两（微炒），地龙1分。	MEI YAO,TIAN GUA ZI,ZI RAN TONG,RU XIANG,GU SUI BU,HONG SHAO YAO,WU LING ZHI,DANG GUI,DI LONG,	肾脏风攻疰，脚膝疼痛，疮肿。	每服空心、临卧以温酒送下。	《普济方》卷三十二引《博济》。
CHEN QU WAN	陈曲丸	陈曲1两半，干姜（炮）半两，官桂（不见火）半两，白术半两，厚朴（去粗皮，姜汁炙）半两，人参（去芦）半两，当归（去芦，薄切，焙干）半两，甘草（炙）半两。	CHEN QU,GAN JIANG,GUAN GUI,BAI ZHU,HOU PO,REN SHEN,DANG GUI,GAN CAO,	泄痢，心腹冷痛。	每服30-40丸，酒或淡醋汤送下，空心食前服，1日2次。发时不时增数。	《本事》卷四。功效:磨积，止泄痢。
MA HUANG TANG	麻黄汤	麻黄（去根节，先煎，掠去沫，焙）2两，附子（炮裂，去皮脐）1两，细辛（去苗叶）3分，干姜（炮）3分，甘草（炙，锉）半两，杏仁（去皮尖双仁）半两。	MA HUANG,FU ZI,XI XIN,GAN JIANG,GAN CAO,XING REN,	中风伤寒，头痛沉重。	每服3钱匕，以水1盏，煎至7分，去滓，食前温服，每日3次。	《圣济总录》卷二十二。
JU BING TANG	橘饼汤	橘饼。	JU BING,	伤食生冷瓜果，泄泻不休。	细嚼，滚水送下。	《绛囊撮要》。功效:除膈止消。
JIE GENG SAN	桔梗散	桔梗（去芦头）半两，桑根白皮（锉）半两，贝母（煨微黄）半两，紫苏茎叶半两，人参（去芦头）半两，甘草（炙微赤，锉）半两，天门冬1两（去心），赤茯苓1两，麻黄2分（去根节）。	JIE GENG,SANG GEN BAI PI,BEI MU,ZI SU JING XIE,REN SHEN,GAN CAO,TIAN MEN DONG,CHI FU LING,MA HUANG,	妊娠肺壅咳嗽，喘急不食。妇人风寒咳   嗽。	每服4钱，以水1中盏，入生姜半分，煎至6分，去滓温服，不拘时候。	《圣惠》卷七十四。
REN SHEN HUANG QI SAN	人参黄耆散	川归身1钱，茯苓1钱，芍药（炒）8分，真地骨皮8分，白术8分，川芎8分，人参8分，车前子5分，黄耆1钱，炙甘草5分，熟地1钱5分，鹿角胶（如气虚者入5茶匙）。	CHUAN GUI SHEN,FU LING,SHAO YAO,ZHEN DI GU PI,BAI ZHU,CHUAN QIONG,REN SHEN,CHE QIAN ZI,HUANG QI,ZHI GAN CAO,SHU DI,LU JIAO XIAO,	久患白带，瘦弱无力，腰腹腿痛，饮食无味，面黄浮肿，小水淋沥，气虚血少。	水1钟，加大枣2枚，水煎服。	《冯氏锦囊》卷十六。
TU SU JIU	屠苏酒	赤木桂心7钱5分，防风1两，菝葜5钱，蜀椒5钱7分，桔梗5钱7分，大黄5钱7分，乌头2钱5分，赤小豆14枚。	CHI MU GUI XIN,FANG FENG,BA JIE,SHU JIAO,JIE GENG,DA HUANG,WU TOU,CHI XIAO DOU,		以三角绛囊盛之，除夜悬井底，元旦取出置酒中，煎数沸，举家东向，从少至长次第饮之。药滓还投井中，岁饮此水，一世无病。	《小品方》引华佗方（见《本草纲目》卷二十五）。功效:辟疫疠一切不正之气。
LI JI GAO	离济膏	生鹿角屑1斤（鹿茸更佳），高丽参4两（用油3、4斤先熬枯去渣听用，或用黄丹收亦可。此即参茸膏影子），生附子4两，川乌3两，天雄3两，白附子2两，益智仁2两，茅山术2两，桂枝2两，生半夏2两，补骨脂2两，吴茱萸2两，巴戟天2两，胡芦巴2两，肉苁蓉2两，党参1两，白术1两，黄耆1两，熟地1两，川芎1两，酒当归1两，酒白芍1两，山萸肉1两，淮山药1两，仙茅1两，蛇床子1两，菟丝饼1两，陈皮1两，南星1两	SHENG LU JIAO XIE,GAO LI SHEN,SHENG FU ZI,CHUAN WU,TIAN XIONG,BAI FU ZI,YI ZHI REN,MAO SHAN ZHU,GUI ZHI,SHENG BAN XIA,BU GU ZHI,WU ZHU YU,BA JI TIAN,HU LU BA,ROU CONG RONG,DANG SHEN,BAI ZHU,HUANG QI,SHU DI,CHUAN QIONG,JIU DANG GUI,JIU BAI SHAO,SHAN YU ROU,HUAI SHAN YAO,XIAN MAO,SHE CHUANG ZI,TU SI BING,CHEN PI,NAN XING,	元阳衰耗，火不生土，胃冷成膈；或脾寒便溏，泄泻浮肿作胀；或肾气虚寒，腰脊重痛，腹脐腿足常冷；或肾气衰败，茎痿精寒；或精滑，随触随泄；或夜多漩溺，甚则脬冷，遗尿不禁，或冷淋、或寒疝、或脱精脱神之症。妇人子宫冷，或大崩不止，身冷气微阳欲脱者；或冲任虚寒，带下纯白者；或久带下脐腹冷痛，腰以下如坐冰雪中，三阳真气俱衰者。小儿慢脾风。	贴心、脐、对脐、脐下。	《理瀹》。功效:扶阳益火，温肾固真。
TONG DING YAN	通顶烟	川乌1两。	CHUAN WU,	诸头风，如斧劈，痛不可忍者。	烧烟熏碗内，热茶清泡碗内烟气服之。	《奇效良方》卷二十四。
QIANG HUO GAO	羌活膏	川羌活1两，防风1两，川芎半两，荆芥穗半两，蝎梢（酒浸3日，焙干）半两，天麻（酒浸3日，焙）半两，人参半两，白术半两，白茯苓半两。	CHUAN QIANG HUO,FANG FENG,CHUAN QIONG,JING JIE SUI,HE SHAO,TIAN MA,REN SHEN,BAI ZHU,BAI FU LING,	小儿虚风，及吐泻后精神昏困。	每服1丸，薄荷汤化下。	《幼幼新书》卷十三引庄氏方。
ZHUI XIAN WAN	坠涎丸	天南星（去皮脐，生用）半两，白附子（洗，去皮）半两，川乌尖（去皮脐，生用）1分，白僵蚕（洗净，直者）1分，白矾（枯）1分，半夏（洗净，生用）1两。	TIAN NAN XING,BAI FU ZI,CHUAN WU JIAN,BAI JIANG CAN,BAI FAN,BAN XIA,	咳嗽。	每服20丸，用生姜、薄荷苛泡汤吞下。	《洪氏集验方》卷五。。功效:化痰。
ER SHENG SAN	二圣散	胡粉、苦参各等分。	HU FEN,KU SHEN GE DENG FEN,	瘾疹，肌肉青黑。	温酒调下；兼涂患处。	《幼幼新书》卷三十七引张涣方。
ZENG SUN CHENG QI WAN	增损承气丸	前胡7分，枳实7分（炙），桂心5分，干姜5分，吴茱萸5分，茯苓4分，芍药6分，厚朴10分（炙），橘皮10分，大黄7分，杏仁70枚（去皮尖）。	QIAN HU,ZHI SHI,GUI XIN,GAN JIANG,WU ZHU YU,FU LING,SHAO YAO,HOU PO,JU PI,DA HUANG,XING REN,	胸胁支满，背上时有一答热则痛，腹胀多噫，醋咽气逆。	每服7丸，食后少时，酒、饮任下。以气宣下泄为度。	《外台》卷六引《延年秘录》。
YANG WEI TANG	养胃汤	石斛12g，太子参12g，瓦楞子12g，金铃子9g，玄胡9g，佛手9g，黄连2g，吴茱萸0.5g，白芍15g，甘草3g。	SHI HU,TAI ZI SHEN,WA LENG ZI,JIN LING ZI,XUAN HU,FO SHOU,HUANG LIAN,WU ZHU YU,BAI SHAO,GAN CAO,	胃阴不足，脘胁疼痛，呕恶泛酸，或有口干口苦，胃脘灼热，舌质偏红或红绛，舌苔薄或薄黄，脉弦细或细而带数。常用于胃和十二指肠溃疡病、慢性胃炎等病而偏于胃热伤阴者。		《古今名方》引《老中医临床经验选编》。功效:养胃疏肝，和里缓急，降逆止呕。
ZHI XIE NUAN QI GAO	止泻暖脐膏	丁香1钱，胡椒3钱，硫黄2钱，绿豆粉5钱。	DING XIANG,HU JIAO,LIU HUANG,LV DOU FEN,	湿邪入腹，腹痛泄泻。	撤膏药上，对脐贴之。	《青囊秘传》。
A XIAO TANG	阿胶汤	阿胶（炒燥）3分，黄芩（去黑心）3分，甘草（炙）半两，生地黄（绞取汁）、车前叶（生者，绞取汁）、藕节（绞取汁）、生蜜1盏。	A XIAO,HUANG QIN,GAN CAO,SHENG DI HUANG,CHE QIAN XIE,OU JIE,SHENG MI,	肾客热连心，小便出血疼痛。	每服1大匙，水1盏，煎至7分，去滓温服，不拘时候。	《圣济总录》卷九十六。
REN SHEN WAN	人参丸	人参1两（去芦头），赤石脂1两，杜仲1两（去粗皮，炙令微黄，锉），远志1两（去心），黄耆3分（锉），白茯苓2分，菖蒲1两，桂心3分，柏子仁3分。	REN SHEN,CHI SHI ZHI,DU ZHONG,YUAN ZHI,HUANG QI,BAI FU LING,CHANG PU,GUI XIN,BAI ZI REN,		每服20丸，食前以温粥送下。	《圣惠》卷四。功效:补心益智，强记助神，令身体光润。
SHEN XIAO FU YUAN TONG QI SAN	神效复元通气散	当归3两，甘草1两，生地黄半两，黄耆1两，白芍1两，天花粉1两，熟地黄半两，金银花2两。	DANG GUI,GAN CAO,SHENG DI HUANG,HUANG QI,BAI SHAO,TIAN HUA FEN,SHU DI HUANG,JIN YIN HUA,	一切恶疮痈疽，疔疮肿痛。	上（口父）咀。每服5钱，水1盏半，煎至1盏，去滓，随证上下，食前后温服，初觉发时，连进3服。	《仙传外科集验方》卷六。
SI SHEN WAN	四神丸	香附米8两（酒、醋、童便各浸2两，浸3日，炒），砂仁2两（炒），苍术2两（米泔水浸，牡蛎粉炒），椿根白皮2两（蜜水炒）。	XIANG FU MI,SHA REN,CANG ZHU,CHUN GEN BAI PI,	白带。	每服50-60丸，空心黄酒送下。	《古今医鉴》卷十一。
JIE GU CAO JIU	接骨草酒	接骨草叶1斤。	JIE GU CAO XIE,	骨折。	先用手法复位，然后用接骨草酒湿敷于骨折部位皮肤，外用小夹板固定，必要时加牵引。每天将接骨草酒滴入夹板下之纱布，成人50毫升，儿童30毫升，每天1—2次。	《中药制剂汇编》。功效:接骨续筋。
MAI MEN DONG YIN	麦门冬饮	麦门冬2两（去心），人参1两，橘皮1两，生姜3两，羚羊角1两（屑）。	MAI MEN DONG,REN SHEN,JU PI,SHENG JIANG,LING YANG JIAO,	风邪热气冲心，心闷短气，吐不下食。脚气，痰壅呕逆，心胸满闷，不下饮食。	以水5升，煮取1升5合，去滓，分3次温服。	《外台》卷六引《延年秘录》。
DANG GUI YANG XIE TANG	当归养血汤	当归1钱，秦艽1钱，天冬1钱，灵脂1钱，腹皮1钱，云皮1钱，川芎1钱5分，玄胡1钱5分，茯苓1钱5分，熟地1钱5分，丹皮1钱5分，甘草3分。	DANG GUI,QIN QIU,TIAN DONG,LING ZHI,FU PI,YUN PI,CHUAN QIONG,XUAN HU,FU LING,SHU DI,DAN PI,GAN CAO,	胸膈疼痛，筋弱抖搐，气胀，胁痛。	葱3茎为引。	《点点经》卷一。
TIAN NAN XING JIAN	天南星煎	天南星1两（微炮），白附子1两，干蝎半两（炒），白花蛇1两（酒浸，去皮骨，炙令黄），天麻半两。	TIAN NAN XING,BAI FU ZI,GAN HE,BAI HUA SHE,TIAN MA,	胎痫，潮发迟省。	每服1粒，取竹沥化下，不拘时候。	《永乐大典》卷九八一引《医方妙选》。
ZHU TI GENG	猪蹄羹	猪蹄1具（切），粟米3合。	ZHU TI,SU MI,	产后虚损，少乳。	上一如常法，入5味，作羹食之。	《圣惠》卷九十七。
AN LIANG WAN	安惊丸	远志肉（姜汁浸，焙）半两，净铁粉半两，朱砂半两，人参半两，茯神半两，全蝎21个（焙），南星（中者）1个（姜汁浸1宿，切细，焙），白附子（略炮）2钱半，花蛇头（酒浸肉，焙）、麝半钱。	YUAN ZHI ROU,JING TIE FEN,ZHU SHA,REN SHEN,FU SHEN,QUAN HE,NAN XING,BAI FU ZI,HUA SHE TOU,SHE,	诸惊风痫，或犬声异物，惊忤打坠，不省人事。	每服1丸，菖蒲、灯心煎汤调下。	《直指小儿》卷一引建阳刘参议方。
HU PO GAO	琥珀膏	锦纹大黄。	JIN WEN DA HUANG,	流注及瘀血顽痰，结成肿块。	捣大蒜调敷。即痛1-2时，无妨。至次日去药，发斑或起泡，挑破流水，用月白珍珠散掺之即干，或用西圣膏贴之，以消余肿。	《外科大成》卷四。
BU ER SAN	不二散	婴粟壳2两，甘草2两（炙），青皮（去瓤，焙干）2两，陈皮（去瓤，焙干）2两，当归1两，甜藤1两（如无，干葛代）。	YING SU KE,GAN CAO,QING PI,CHEN PI,DANG GUI,TIAN TENG,	诸般泻痢。	每服2钱，水1盏，煎至7分，去滓，通口服；如患赤白痢，用酸石榴皮1片同煎。	《普济方》卷二○七。
